"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"occurrenceStatus","occurrence_status","occurrenceStatus","occurrence_status","Presence/Absence","occurrence_status","occurrenceStatus","http://rs.tdwg.org/dwc/terms/occurrenceStatus"
"sex","raw_sex","sex","raw_sex","Sex","raw_sex","sex","http://rs.tdwg.org/dwc/terms/sex"
"preparations","preparations","preparations","preparations","preparations","preparations","preparations","http://rs.tdwg.org/dwc/terms/preparations"
"Taxonomic Quality","taxonomic_kosher","","taxonomic_kosher","Taxonomic Quality","taxonomic_kosher","Taxonomic Quality","A flag indicating if there are serious taxonomic problems with a record. false indicates problems."
"Location Quality","geospatial_kosher","","geospatial_kosher","Spatial validity","geospatial_kosher","Location Quality","A single value statement on the spatial validity. Records that have failed 1 or more critical geospatial data quality tests have a value of false"
"Event Date - parsed","occurrence_date","eventDate","occurrence_date","Date (by decade)","occurrence_date","Event Date - parsed","http://rs.tdwg.org/dwc/terms/eventDate"
"country","country","country","country","Country","country","country","The country where the specimen was collected or observation was made http://rs.tdwg.org/dwc/terms/country"
"identified _ by","identified_by","identifiedBy","identified_by","Identified by","identified_by","","http://rs.tdwg.org/dwc/terms/identifiedBy"
"county","county","county","county","County","county","","http://rs.tdwg.org/dwc/terms/county"
"Occurrence status assumed to be present","assumedPresentOccurrenceStatus","","","","","",""
"Basis of record badly formed","badlyFormedBasisOfRecord","","","","","",""
"Coordinates are out of range for species","coordinatesOutOfRange","","","","","",""
"Country inferred from coordinates","countryInferredByCoordinates","","","","","",""
"Day and month transposed","dayMonthTransposed","","","","","",""
"Coordinates derived from verbatim coordinates","decimalLatLongCalculatedFromVerbatim","","","","","",""
"First of the century","firstOfCentury","","","","","",""
"First of the month","firstOfMonth","","","","","",""
"First of the year","firstOfYear","","","","","",""
"Geodetic datum assumed WGS84","geodeticDatumAssumedWgs84","","","","","",""
"Identification date before occurrence date","idPreOccurrence","","","","","",""
"Incomplete collection date","incompleteCollectionDate","","","","","",""
"Invalid collection date","invalidCollectionDate","","","","","",""
"Min and max altitude reversed","minMaxAltitudeReversed","","","","","",""
"Name not in national checklists","nameNotInNationalChecklists","","","","","",""
"Collector name unparseable","recordedByUnparsable","","","","","",""
"Collection code not recognised","unrecognisedCollectionCode","","","","","",""
"Institution code not recognised","unrecognisedInstitutionCode","","","","","",""
"Type status not recognised","unrecognisedTypeStatus","","","","","",""
"Supplied coordinates are zero","zeroCoordinates","","","","","",""
"Zero latitude","zeroLatitude","","","","","",""
"Zero longitude","zeroLongitude","","","","","",""
